id	title
-ur46rfBP34	#Shorts / [와글와글] 빨래방 나가자마자 '펑'‥10초 차로 목숨 구한 남성 (2023.04.04/뉴스투데이/MBC)
d4_c4Gugp0k	"#Shorts / [와글와글] '카공족' 퇴치법 공유‥""""오죽하면 이러겠어요"""" (2023.04.04/뉴스투데이/MBC)"
bN6yuXf5Vzo	#Shorts / [날씨] 산불 고비‥늦은 오후 전국에 비 (2023.04.04/뉴스투데이/MBC)
S6RmVoXsdt8	#Shorts / BTS 지민, K팝 솔로 최초..미국 빌보드 싱글 1위 (2023.04.04/뉴스투데이/MBC)
oE-c0iRaqQQ	"#Shorts / '던지기 사인 요구' 논란‥""""유니폼에 사인해 줘"""" (2023.04.03/뉴스데스크/MBC)"
fbiajA_-1rQ	"#Shorts / """"인형줄게 가자"""" 9살 여아 유괴‥끈질긴 시민이 막았다 (2023.04.03/뉴스데스크/MBC)"
ur7I3KB9gws	#Shorts / '100미터 10초 복귀' 명령에 아수라장‥공군 훈련병 수백 명 넘어져 (2023.04.03/뉴스데스크/MBC)
SeL1oZZ1I1U	"#Shorts / [단독] 산불 잇따르는데 도지사는 골프연습‥김진태 강원도지사 """"조퇴했다"""" (2023.04.03/뉴스데스크/MBC)"
_VwsqC8zFz8	#Shorts / [와글와글] 영국 유튜버 등 영국인 3명, 탈레반에 억류돼 (2023.04.03/뉴스투데이/MBC)
BY31Bfn7-Ss	"""""앞으로 4·3의 완전한 치유에 이르기까지 마음으로 함께하겠다” 문재인 전 대통령 퇴임 후 첫 4.3평화공원 참배 #Shorts (2023.04.03/MBC News)"
BplPw-C4wbc	"""""4·3의 완전한 치유, 진정한 화해·통합 이르는 길"""" 문재인 전 대통령 4.3평화공원 참배 #Shorts (2023.04.03/MBC News)"
fzsStkWJ6ps	"#Shorts / [이 시각 세계] CNN """"중국 쇼핑 앱서 스파이웨어 발견"""" (2023.04.03/뉴스투데이/MBC)"
fi9-d74YWt8	"#Shorts / [와글와글] """"이런 우연이‥"""" 눈 속에 묻힌 스노보더 구조 (2023.04.03/뉴스투데이/MBC)"
EccveUo-Rys	"#Shorts / [와글와글] """"하늘에서 '돈'이 내려와"""" 시민 반응은? (2023.04.03/뉴스투데이/MBC)"
D9oNFPkoBTw	#Shorts / [와글와글] 평양냉면 한 그릇 '1만 6천 원' 시대 (2023.04.03/뉴스투데이/MBC)
AZpkHijiLdo	"#Shorts / [와글와글] """"얼룩말 '세로' 보러 가요"""" 동물원 '북적' (2023.04.03/뉴스투데이/MBC)"
vaqN1YVNM6s	#Shorts / [이 시각 세계] '마지막 황제' 작곡 사카모토 류이치 별세 (2023.04.03/뉴스투데이/MBC)
Lm64X0Jd_I8	"#Shorts / 러 카페서 의문의 폭발‥""""군사 블로거 숨져"""" (2023.04.03/뉴스투데이/MBC)"
w8umBWCScn4	#Shorts / 가격 낮추니 불티나게 판매‥실속형 가격 경쟁 본격화 (2023.04.02/뉴스데스크/MBC)
FqglgsX9LsQ	#Shorts / 고정카메라 없어도 '과속' 딱 걸린다‥고속도로 '이동 단속' 확대 (2023.04.02/뉴스데스크/MBC)
AksUxrE8k3s	2023년 4월 3일 (월) 오늘의 주요 뉴스 #Shorts
1y1Yxb6KSZw	2023년 4월 1일 (토) 오늘의 주요 뉴스 #Shorts
Q0nE9UVMsL8	#Shorts / 맨해튼 대배심 '트럼프 기소'‥미국 역사상 첫 사례 (2023.03.31/뉴스투데이/MBC)
lozGD1pmE60	"#Shorts / [와글와글] """"또 총알 막았다""""‥우크라이나 군인 목숨 구한 휴대 전화 (2023.03.31/뉴스투데이/MBC)"
Ta24pmSPjuQ	"#Shorts / """"방울토마토 먹고 구토""""‥'출하 중단' 명령 (2023.03.31/뉴스투데이/MBC)"
KGPT8gCee5U	“와줘서 고마워잉”..”죄송합니다, 죄송합니다”..전우원 5.18 피해자들께 큰절 #Shorts (2023.03.31/MBC News)
j7iqM9P56mk	“추악한 죄인..진심으로 죄송”, ‘전두환 손자’ 광주에서 5.18유족 피해자 만남  #Shorts (2023.03.31/MBC News)
94vGgznzC8c	"#Shorts / [와글와글] """"아니 거기서 왜 바지를‥"""" 발리 성지 모독한 러시아인 (2023.03.31/뉴스투데이/MBC)"
