etag	id	date	channel	title	description	thumb_url	ch_title	tags	duration	view	likes	favorites	comments	topcs
LqP3R4cyTr8UB72e0Yvq6NCOwpQ	lX6V51cHhWg	2023-02-27T06:29:17Z	UCF4Wxdo3inmxP-Y59wXDsFw	"""인구 문제 '마지막' 골든 타임""..대책 마련 고심도 진짜 '최종'되어야 #Shorts(2023.02.24/뉴스프리데스크/MBC)"		https://i.ytimg.com/vi/lX6V51cHhWg/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT58S	965	25.0	0	8.0	['https://en.wikipedia.org/wiki/Society']
PfyM-5KuK6eHMJ-hQbHOTX8UbLE	b9BHIgys2so	2023-02-27T06:24:10Z	UCF4Wxdo3inmxP-Y59wXDsFw	10.29참사 생존자 한 달 간병비 495만 원 '끝나지 않은 고통' #Shorts(2023.02.24/뉴스프리데스크/MBC)		https://i.ytimg.com/vi/b9BHIgys2so/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT1M	518	30.0	0	5.0	['https://en.wikipedia.org/wiki/Society']
fZAgVFqAo65TTTx07rCa2LRasvA	uppF1qjp5Y8	2023-02-27T03:00:22Z	UCF4Wxdo3inmxP-Y59wXDsFw	다섯 아빠의 육아일기..'우리가 조명 받지 않는 사회가 되길’ #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/uppF1qjp5Y8/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT58S	2098	48.0	0	3.0	['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
6zGAwtucdH-X8xt-MZEqp6wmokE	2MDIKsL3gNI	2023-02-27T02:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	조류발 팬데믹 경보..우리는 준비 됐나? #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/2MDIKsL3gNI/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT1M	3772	73.0	0	8.0	
NDJO9onSm3dyisTXNDUhWw1mRYA	YOq6y2XKvqw	2023-02-27T02:30:12Z	UCF4Wxdo3inmxP-Y59wXDsFw	저소득층 10명 7명 만성질환..’우울감 정도도 커’ #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/YOq6y2XKvqw/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT1M	1893	43.0	0	3.0	
DPNJW9Gzpdg7O1tvSH8u_9VR6yo	v0UdEiTJgTc	2023-02-27T02:00:30Z	UCF4Wxdo3inmxP-Y59wXDsFw	미-중 풍선 이어 ‘판다’로 갈등..’공동 부검’까지 #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/v0UdEiTJgTc/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT1M	2671	43.0	0	3.0	
5_YgLqM_4djo3g27jx9N8WaoS0U	8i-1KGTUInQ	2023-02-27T01:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	비행기 앞자리에서 넘어온 것 #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/8i-1KGTUInQ/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT41S	2993	49.0	0	10.0	
hybUB_UWNLZLafI_gGG_Sfum8XY	EFbv3BkQzso	2023-02-27T01:30:05Z	UCF4Wxdo3inmxP-Y59wXDsFw	일본 음식점, 이번엔 ‘소독제’ 논란 #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/EFbv3BkQzso/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT45S	3721	72.0	0	15.0	
jsDDTkbKuzSemfOgY3Fpdmf8fdY	LkTAxNj_Glo	2023-02-27T01:15:01Z	UCF4Wxdo3inmxP-Y59wXDsFw	우크라, ‘푸틴에 한 판 승?’ 우표 발행 #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/LkTAxNj_Glo/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT49S	3103	45.0	0	1.0	['https://en.wikipedia.org/wiki/Society']
acwPY4UvYXMyZSxTSa2QYu_LdGM	F4NNzIfH1PQ	2023-02-27T00:47:48Z	UCF4Wxdo3inmxP-Y59wXDsFw	엄마 잃은 우크라 소녀, ’푸틴 행사’ 동원? #Shorts (2023.02.27/MBC News)		https://i.ytimg.com/vi/F4NNzIfH1PQ/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT59S	1995	35.0	0	11.0	['https://en.wikipedia.org/wiki/Society']
