index	videoId	title	thumbnails	viewCount	frame0Thumbnails	timestamp	channelHandle	channelId	channelTitle	channelThumbnails	duration
0	lX6V51cHhWg	"""인구 문제 '마지막' 골든 타임""..대책 마련 고심도 진짜 '최종'되어야 #Shorts(2023.02.24/뉴스프리데스크/MBC)"	[{'url': 'https://i.ytimg.com/vi/lX6V51cHhWg/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDyyZMEQkeBJC4-zsPI7RfiYRAeGg', 'width': 202, 'height': 360}]	146	[{'url': 'https://i.ytimg.com/vi/lX6V51cHhWg/frame0.jpg', 'width': 270, 'height': 480}]						58 seconds
1	b9BHIgys2so	10.29참사 생존자 한 달 간병비 495만 원 '끝나지 않은 고통' #Shorts(2023.02.24/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/b9BHIgys2so/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDbqRAeiE2IA3NfGt5gbMHE0LBjRg', 'width': 202, 'height': 360}]	247	[{'url': 'https://i.ytimg.com/vi/b9BHIgys2so/frame0.jpg', 'width': 270, 'height': 480}]						1 minute
2	uppF1qjp5Y8	다섯 아빠의 육아일기..'우리가 조명 받지 않는 사회가 되길’ #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/uppF1qjp5Y8/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLAC8SE2-GLHBwOamhKOVGXPoBM9-A', 'width': 405, 'height': 720}]	1800	[{'url': 'https://i.ytimg.com/vi/uppF1qjp5Y8/frame0.jpg', 'width': 1080, 'height': 1920}]						58 seconds
3	2MDIKsL3gNI	조류발 팬데믹 경보..우리는 준비 됐나? #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/2MDIKsL3gNI/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLD2sq3BQYW3IM-05RPMsQ1R7K6hMA', 'width': 405, 'height': 720}]	3500	[{'url': 'https://i.ytimg.com/vi/2MDIKsL3gNI/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
4	YOq6y2XKvqw	저소득층 10명 7명 만성질환..’우울감 정도도 커’ #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/YOq6y2XKvqw/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLB7QwnnWlO4q8EaV4fuHMMzMOv08g', 'width': 405, 'height': 720}]	1700	[{'url': 'https://i.ytimg.com/vi/YOq6y2XKvqw/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
5	v0UdEiTJgTc	미-중 풍선 이어 ‘판다’로 갈등..’공동 부검’까지 #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/v0UdEiTJgTc/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLAR6lTe-M_IoXzPJH4EszaSLBgG5Q', 'width': 405, 'height': 720}]	2500	[{'url': 'https://i.ytimg.com/vi/v0UdEiTJgTc/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
6	8i-1KGTUInQ	비행기 앞자리에서 넘어온 것 #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/8i-1KGTUInQ/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCDAzd_Y5pv7CZdq1ynbRmfuPduqA', 'width': 405, 'height': 720}]	2800	[{'url': 'https://i.ytimg.com/vi/8i-1KGTUInQ/frame0.jpg', 'width': 1080, 'height': 1920}]						41 seconds
7	EFbv3BkQzso	일본 음식점, 이번엔 ‘소독제’ 논란 #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/EFbv3BkQzso/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCKyV8Y8O2q59styn2y3IEf-8srjg', 'width': 405, 'height': 720}]	3500	[{'url': 'https://i.ytimg.com/vi/EFbv3BkQzso/frame0.jpg', 'width': 1080, 'height': 1920}]						45 seconds
8	LkTAxNj_Glo	우크라, ‘푸틴에 한 판 승?’ 우표 발행 #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/LkTAxNj_Glo/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLC--F1MGAbwBpdsMwmHxb5ilM5pTA', 'width': 405, 'height': 720}]	2900	[{'url': 'https://i.ytimg.com/vi/LkTAxNj_Glo/frame0.jpg', 'width': 1080, 'height': 1920}]						49 seconds
9	F4NNzIfH1PQ	엄마 잃은 우크라 소녀, ’푸틴 행사’ 동원? #Shorts (2023.02.27/MBC News)	[{'url': 'https://i.ytimg.com/vi/F4NNzIfH1PQ/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCKMTS31pDIwx5y2LZiBDiADMNAsg', 'width': 405, 'height': 720}]	1900	[{'url': 'https://i.ytimg.com/vi/F4NNzIfH1PQ/frame0.jpg', 'width': 1080, 'height': 1920}]						59 seconds
